EradicatumXVR,Terran,-,-,'Disabled
Matej Kravjar,Zerg,-,-,'Disabled
Martin Pinter,Terran,-,-,'Disabled
Daniel Blackburn,Zerg,-,-,'Disabled
Johannes Holzfuss,Zerg,-,-,'Disabled
Martin Dekar,Terran,-,-,'Disabled
Lucia Pivackova,Terran,-,-,'Disabled
Maja Nemsilajova,Terran,-,-,'Disabled
Chris Ayers,Protoss,-,-,'Disabled
Radim Bobek,Terran,-,-,'Disabled
neverdieTRX,Terran,-,-,'Disabled
LetaBot CIG 2016,Terran,-,-,'Disabled
HoangPhuc,Terran,-,-,'Disabled
ButcherBoy,Protoss,-,-,'Disabled
AwesomeBot,Protoss,-,-,'Disabled
Vaclav Horazny,Zerg,-,-,'Disabled
LetaBot AIIDE 2016,Terran,-,-,'Disabled
XelnagaII,Protoss,-,-,'Disabled
Aman Zargarpur,Terran,-,-,'Disabled
BeeBot,Terran,-,-,'Disabled
Marcin Bartnicki,Zerg,-,-,'Disabled
ZerGreenBot,Protoss,-,-,'Disabled
Rob Bogie old,Protoss,-,-,'Disabled
LetaBot SSCAI 2015 Final,Terran,-,-,'Disabled
Sebastian Mahr,Terran,-,-,'Disabled
Henri Kumpulainen,Terran,-,-,'Disabled
Pablo Garcia Sanchez,Zerg,-,-,'Disabled
Gabriel Synnaeve,Protoss,-,-,'Disabled
A Jarocki,Zerg,-,-,'Disabled
JompaBot,Terran,-,-,'Disabled
Martin Vlcak,Terran,-,-,'Disabled
Tae Jun Oh,Terran,-,-,'Disabled
VeRLab,Terran,-,-,'Disabled
Jacob Knudsen,Protoss,-,-,'Disabled
Nathan a David,Protoss,-,-,'Disabled
If Bot,Terran,-,-,'Disabled
